대분류,중분류,소분류,기능명,설명,작업상태,우선순위,구현 파일,인수조건
공통,레이아웃,사이드바,모바일 사이드바 드로어,햄버거 메뉴 클릭 시 모바일에서 사이드바 드로어 표시 및 오버레이 처리,완료,P1,AppSidebar.tsx / AppLayout.tsx / AppHeader.tsx,모바일에서 사이드바 열기/닫기 동작 정상 확인
공통,레이아웃,사이드바,역할별 메뉴 필터링,현재 선택된 역할(점주/SV/본사/마케터)에 따라 사이드바 메뉴 항목 동적 표시,완료,P1,AppSidebar.tsx / navigation.ts,역할 변경 시 메뉴 항목 즉시 반영 확인
공통,레이아웃,사이드바,중복 라우트 제거,분석·SV·본사 섹션의 메뉴 항목을 고유 경로로 분리,완료,P1,navigation.ts / router.tsx,각 메뉴 항목 클릭 시 올바른 페이지로 이동 확인
공통,레이아웃,헤더,알림 인박스,헤더 벨 아이콘 클릭 시 생산·주문·분석 알림 드롭다운 표시,완료,P1,AppHeader.tsx / notifications.ts,미읽음 배지 카운트 및 드롭다운 노출 확인
공통,레이아웃,헤더,브레드크럼 내비게이션,현재 페이지 경로에 맞는 브레드크럼 표시 (SV·본사 하위 경로 포함),완료,P1,AppHeader.tsx,모든 신규 경로에서 올바른 브레드크럼 노출 확인
공통,레이아웃,AI 채팅,페이지별 컨텍스트 해설,각 페이지에 맞는 Quick Action과 AI 해설 패널 표시,완료,P2,FloatingAiChat.tsx,신규 라우트(/analytics /sv/* /signals)에서 관련 해설 노출 확인
생산 관리,생산 관리 Agent,재고 현황,품목별 재고 현황 테이블,SKU별 현재고·1시간 후 예측·소진 예상 시각·상태 표시 테이블,완료,P1,ProductionPage.tsx,위험/주의/안전 상태 배지 및 소진 시각 노출 확인
생산 관리,생산 관리 Agent,재고 현황,품절 위험 알림 배너,위험 상태 SKU 존재 시 페이지 상단 알림 배너 표시,완료,P1,ProductionPage.tsx,위험 SKU 개수와 대응 필요 메시지 노출 확인
생산 관리,생산 관리 Agent,재고 예측,5분 단위 재고 조회 표시,재고 현황 테이블에 마지막 업데이트 시각과 실시간 배지 표시,완료,P1,ProductionPage.tsx,업데이트 시각 및 실시간 배지 노출 확인
생산 관리,생산 관리 Agent,재고 예측,1시간 후 예측 재고 표시,각 SKU별 1시간 후 예상 재고량 테이블에 표시,완료,P1,ProductionPage.tsx,위험 SKU의 예측 재고 빨간색 강조 확인
생산 관리,생산 관리 Agent,생산 등록,생산 등록 모달,위험/주의 SKU의 생산 등록 버튼 클릭 시 현재고·예측·수량 입력 모달 표시,완료,P1,ProductionPage.tsx,모달 내 현재고·예측 정보 및 수량 입력 후 확인 등록 동작 확인
생산 관리,생산 관리 Agent,생산 등록,생산 등록 후 피드백,생산 등록 완료 시 찬스 로스 -10% 피드백 카드 표시,완료,P1,ProductionPage.tsx,등록 완료 후 피드백 패널에 SKU명·수량·등록 시각 표시 확인
생산 관리,생산 관리 Agent,생산 패턴,4주 평균 생산 패턴 패널,위험 SKU별 1차·2차 생산 평균 시간·수량 표시,완료,P1,ProductionPage.tsx,1차·2차 생산 시간 및 수량 패널 노출 확인
주문 관리,주문 관리 Agent,마감 알림,주문 마감 카운트다운 타이머,주문 마감까지 남은 시간을 실시간 MM:SS 카운트다운으로 표시,완료,P1,OrderingPage.tsx,타이머 작동 및 5분 이내 시 색상 변경 확인
주문 관리,주문 관리 Agent,주문 옵션,3개 주문 옵션 카드,전주/전전주/전월 동요일 기준 주문 옵션 카드 표시 (상품별 수량 포함),완료,P1,OrderingPage.tsx,AI 추천 배지 및 특이사항 노출 확인
주문 관리,주문 관리 Agent,주문 옵션,옵션별 상품 수량 비교,각 옵션 카드에 품목별 주문 수량과 캠페인 영향 표시,완료,P1,OrderingPage.tsx,상품별 수량·노트 배지 노출 확인
주문 관리,주문 관리 Agent,주문 선택,점주 선택 사유 입력,옵션 선택 시 사유 입력 모달 표시 (선택 입력),완료,P1,OrderingPage.tsx,사유 입력 후 최종 확인 버튼 동작 확인
주문 관리,주문 관리 Agent,주문 선택,주문 확인 완료 화면,최종 확인 후 등록 완료 화면 표시 (선택 옵션·수량·사유·로그 저장),완료,P1,OrderingPage.tsx,완료 화면에 선택 옵션·사유·저장 시각 노출 확인
매출 분석,매출 분석 Agent,채팅 인터페이스,자연어 질의 입력,텍스트 입력 후 Enter/전송 버튼으로 질의 전송 및 mock 응답 표시,완료,P1,SalesPage.tsx,입력 후 응답 카드 (처리 경로·근거·액션) 노출 확인
매출 분석,매출 분석 Agent,채팅 인터페이스,추천 질문 10개 이상,카테고리별 추천 질문 클릭 시 자동 입력 및 응답 표시,완료,P1,SalesPage.tsx,추천 질문 10개 이상 노출 및 클릭 동작 확인
매출 분석,매출 분석 Agent,응답 구조,처리 경로 라벨 표시,응답 카드에 SQL/API/SQL+RAG/SQL+LLM 처리 경로 배지 표시,완료,P1,SalesPage.tsx,각 응답에 처리 경로 배지 노출 확인
매출 분석,매출 분석 Agent,응답 구조,근거 데이터 표시,응답 카드에 분석 근거 데이터 항목 표시,완료,P1,SalesPage.tsx,근거 데이터 카드 노출 확인
매출 분석,매출 분석 Agent,응답 구조,실행 가능한 액션 표시,응답 카드에 액션 아이템 형태의 인사이트 표시,완료,P1,SalesPage.tsx,실행 액션 목록 노출 확인
질의형 분석,분석 Agent,지표 현황,핵심 지표 그리드,매출·배달·홀·앱 등 6개 핵심 지표를 트렌드와 함께 표시,완료,P1,AnalyticsPage.tsx,지표별 값·변화율·트렌드 아이콘 노출 확인
질의형 분석,분석 Agent,질의 로그,질의 처리 로그 테이블,오늘 처리된 질의 목록 (시각·질의·처리 경로·토큰·분류) 표시,완료,P1,AnalyticsPage.tsx,테이블 노출 및 카테고리 필터 동작 확인
질의형 분석,분석 Agent,질의 로그,카테고리 필터,질의 유형별 (매출/배달/상품/고객) 필터 버튼으로 로그 필터링,완료,P2,AnalyticsPage.tsx,필터 버튼 클릭 시 로그 목록 즉시 갱신 확인
SV,SV Agent,주문 코칭,매장별 주문 현황 테이블,관할 매장 주문 선택 옵션·사유·등록 시각·상태 표시 테이블,완료,P2,SVCoachingPage.tsx,정상/검토/미완료 상태 배지 노출 확인
SV,SV Agent,주문 코칭,SV 코칭 포인트,AI가 감지한 주의 매장 코칭 내용과 알림 발송 버튼 표시,완료,P2,SVCoachingPage.tsx,코칭 카드 및 알림 발송 버튼 노출 확인
SV,SV Agent,생산 점검,생산 점검 현황 테이블,매장별 알림 대응률·생산 등록률·찬스 로스 변화 프로그레스 바 표시,완료,P2,SVInspectionPage.tsx,준수/부분준수/미준수 상태 및 프로그레스 바 노출 확인
본사,본사 Agent,오케스트레이션,감사 로그 테이블,전체 질의의 시각·유형·처리 경로·마스킹·토큰·사용자·역할 표시,완료,P1,OrchestrationPage.tsx,민감정보 차단 건 빨간 배경 및 마스킹 배지 노출 확인
본사,본사 Agent,오케스트레이션,처리 경로 요약 지표,SQL/API 우선 처리율·차단 건수·총 LLM 토큰 사용량 표시,완료,P1,OrchestrationPage.tsx,3개 지표 카드 노출 확인
본사,본사 Agent,오케스트레이션,보안 정책 현황,6개 보안 정책 적용 여부와 설명 표시,완료,P1,OrchestrationPage.tsx,정책 항목별 체크 아이콘 및 설명 노출 확인
본사,본사 Agent,매출 시그널,시그널 카드,전국 매장의 매출 이상 시그널을 우선순위별 카드로 표시,완료,P2,SignalsPage.tsx,긴급/주의/참고 배지 및 AI 인사이트 노출 확인
본사,본사 Agent,매출 시그널,긴급 알림 배너,긴급 시그널 존재 시 페이지 상단 즉시 검토 알림 배너 표시,완료,P2,SignalsPage.tsx,긴급 시그널 건수와 배너 노출 확인
공통,역할 제어,접근 권한,역할별 메뉴 접근 제어,선택된 역할에 따라 사이드바 메뉴 섹션(점주/SV/본사) 동적 표시,완료,P1,navigation.ts / AppSidebar.tsx,marketer 역할 시 SV·점주 메뉴 비노출 확인
공통,역할 제어,접근 권한,역할 전환 기능,사이드바 역할 선택 드롭다운으로 데모 역할 즉시 전환,완료,P1,AppSidebar.tsx / DemoSessionContext.tsx,역할 전환 후 메뉴 즉시 변경 및 localStorage 저장 확인